ddinter_id,ddinter_name,hetionet_compound_id,hetionet_name,mapping_method,mapping_status
DDInter1,Abacavir,,,none,unmapped
DDInter10,Acamprosate,,,none,unmapped
DDInter100,Anthrax vaccine,,,none,unmapped
DDInter1000,Ivosidenib,,,none,unmapped
DDInter1001,Ixabepilone,,,none,unmapped
DDInter1002,Ixazomib,,,none,unmapped
DDInter1003,Ixekizumab,,,none,unmapped
DDInter1004,Kanamycin,Compound::DB01172,Kanamycin,normalized case-insensitive exact generic name,exact_name
DDInter1005,Kaolin,,,none,unmapped
DDInter1006,Kava,,,none,unmapped
DDInter1007,Ketamine,,,none,unmapped
DDInter1008,Ketoconazole,,,none,unmapped
DDInter1009,Ketoprofen,Compound::DB01009,Ketoprofen,normalized case-insensitive exact generic name,exact_name
DDInter101,Anti-inhibitor coagulant complex,,,none,unmapped
DDInter1010,Ketorolac,,,none,unmapped
DDInter1011,Ketorolac (ophthalmic),,,none,unmapped
DDInter1012,Ketotifen,,,none,unmapped
DDInter1013,Labetalol,Compound::DB00598,Labetalol,normalized case-insensitive exact generic name,exact_name
DDInter1014,Lacosamide,Compound::DB06218,Lacosamide,normalized case-insensitive exact generic name,exact_name
DDInter1015,Lactic acid,,,none,unmapped
DDInter1016,Lactitol,,,none,unmapped
DDInter1017,Lactobacillus acidophilus,,,none,unmapped
DDInter1018,Lactulose,Compound::DB00581,Lactulose,normalized case-insensitive exact generic name,exact_name
DDInter1019,Lamivudine,,,none,unmapped
DDInter102,"Antihemophilic factor, human recombinant",,,none,unmapped
DDInter1020,Lamotrigine,Compound::DB00555,Lamotrigine,normalized case-insensitive exact generic name,exact_name
DDInter1021,Lanreotide,,,none,unmapped
DDInter1022,Lansoprazole,,,none,unmapped
DDInter1023,Lanthanum carbonate,,,none,unmapped
DDInter1024,Lapatinib,,,none,unmapped
DDInter1025,Laronidase,,,none,unmapped
DDInter1026,Larotrectinib,,,none,unmapped
DDInter1027,Lasmiditan,,,none,unmapped
DDInter1028,Latanoprost,,,none,unmapped
DDInter103,Antilymphocyte immunoglobulin (horse),,,none,unmapped
DDInter1031,Ledipasvir,,,none,unmapped
DDInter1032,Lefamulin,,,none,unmapped
DDInter1033,Leflunomide,,,none,unmapped
DDInter1034,Lemborexant,,,none,unmapped
DDInter1035,Lenalidomide,,,none,unmapped
DDInter1036,Lenvatinib,,,none,unmapped
DDInter1037,Lepirudin,,,none,unmapped
DDInter1038,Lesinurad,,,none,unmapped
DDInter1039,Letermovir,,,none,unmapped
DDInter104,Antithrombin Alfa,,,none,unmapped
DDInter1040,Letrozole,,,none,unmapped
DDInter1041,Leucovorin,,,none,unmapped
DDInter1042,Leuprolide,,,none,unmapped
DDInter1043,Levacetylmethadol,,,none,unmapped
DDInter1044,Levamisole,,,none,unmapped
DDInter1045,Levamlodipine,,,none,unmapped
DDInter1046,Levetiracetam,,,none,unmapped
DDInter1047,Levmetamfetamine (nasal),,,none,unmapped
DDInter1048,Levobetaxolol (ophthalmic),,,none,unmapped
DDInter1049,Levobunolol,Compound::DB01210,Levobunolol,normalized case-insensitive exact generic name,exact_name
DDInter105,Antithrombin III human,,,none,unmapped
DDInter1050,Levobunolol (ophthalmic),,,none,unmapped
DDInter1051,Levobupivacaine,,,none,unmapped
DDInter1052,Levocarnitine,,,none,unmapped
DDInter1053,Levocetirizine,,,none,unmapped
DDInter1054,Levodopa,,,none,unmapped
DDInter1055,Levofloxacin,,,none,unmapped
DDInter1056,Levoleucovorin,,,none,unmapped
DDInter1057,Levomefolic acid,,,none,unmapped
DDInter1058,Levomefolic acid (calcium),,,none,unmapped
DDInter1059,Levomilnacipran,,,none,unmapped
DDInter106,Antithymocyte immunoglobulin (rabbit),,,none,unmapped
DDInter1060,Levonordefrin,Compound::DB06707,Levonordefrin,normalized case-insensitive exact generic name,exact_name
DDInter1061,Levonorgestrel,,,none,unmapped
DDInter1062,Levorphanol,,,none,unmapped
DDInter1063,Levosalbutamol,,,none,unmapped
DDInter1064,Levothyroxine,,,none,unmapped
DDInter1065,Licorice,,,none,unmapped
DDInter1066,Lidocaine,,,none,unmapped
DDInter1067,Lidocaine (ophthalmic),,,none,unmapped
DDInter1068,Lidocaine (topical),,,none,unmapped
DDInter1069,Linaclotide,,,none,unmapped
DDInter107,Apalutamide,,,none,unmapped
DDInter1070,Linagliptin,Compound::DB08882,Linagliptin,normalized case-insensitive exact generic name,exact_name
DDInter1071,Lincomycin,,,none,unmapped
DDInter1072,Lindane,,,none,unmapped
DDInter1073,Linezolid,,,none,unmapped
DDInter1074,Liothyronine,,,none,unmapped
DDInter1075,Liotrix,,,none,unmapped
DDInter1076,Lipoic acid,,,none,unmapped
DDInter1077,Liraglutide,,,none,unmapped
DDInter1078,Lisdexamfetamine,Compound::DB01255,Lisdexamfetamine,normalized case-insensitive exact generic name,exact_name
DDInter1079,Lisinopril,Compound::DB00722,Lisinopril,normalized case-insensitive exact generic name,exact_name
DDInter108,Apixaban,,,none,unmapped
DDInter1080,Lisocabtagene maraleucel,,,none,unmapped
DDInter1081,Lithium carbonate,,,none,unmapped
DDInter1082,Lixisenatide,,,none,unmapped
DDInter1083,Lofexidine,Compound::DB04948,Lofexidine,normalized case-insensitive exact generic name,exact_name
DDInter1084,Lomefloxacin,,,none,unmapped
DDInter1085,Lomitapide,,,none,unmapped
DDInter1086,Lomustine,,,none,unmapped
DDInter1087,Lonafarnib,,,none,unmapped
DDInter1088,Loperamide,,,none,unmapped
DDInter1089,Lopinavir,,,none,unmapped
DDInter109,Apomorphine,,,none,unmapped
DDInter1090,Loracarbef,,,none,unmapped
DDInter1091,Loratadine,,,none,unmapped
DDInter1092,Lorazepam,Compound::DB00186,Lorazepam,normalized case-insensitive exact generic name,exact_name
DDInter1093,Lorcaserin,,,none,unmapped
DDInter1094,Lorlatinib,,,none,unmapped
DDInter1095,Losartan,Compound::DB00678,Losartan,normalized case-insensitive exact generic name,exact_name
DDInter1096,Loteprednol (ophthalmic),,,none,unmapped
DDInter1097,Loteprednol etabonate,,,none,unmapped
DDInter1098,Lovastatin,Compound::DB00227,Lovastatin,normalized case-insensitive exact generic name,exact_name
DDInter1099,Loxapine,,,none,unmapped
DDInter11,Acarbose,Compound::DB00284,Acarbose,normalized case-insensitive exact generic name,exact_name
DDInter110,Apraclonidine,Compound::DB00964,Apraclonidine,normalized case-insensitive exact generic name,exact_name
DDInter1100,Lubiprostone,,,none,unmapped
DDInter1101,Lumacaftor,,,none,unmapped
DDInter1102,Lumateperone,,,none,unmapped
DDInter1103,Lumefantrine,,,none,unmapped
DDInter1104,Lurasidone,,,none,unmapped
DDInter1105,Lurbinectedin,,,none,unmapped
DDInter1106,Lusutrombopag,,,none,unmapped
DDInter1107,Lutein,,,none,unmapped
DDInter1108,Lutetium Lu 177 dotatate,,,none,unmapped
DDInter1109,Lyme disease vaccine (recombinant OspA),,,none,unmapped
DDInter111,Apremilast,,,none,unmapped
DDInter1110,Macimorelin,,,none,unmapped
DDInter1111,Macitentan,,,none,unmapped
DDInter1112,Magaldrate,,,none,unmapped
DDInter1113,Magnesium carbonate,,,none,unmapped
DDInter1114,Magnesium chloride,,,none,unmapped
DDInter1115,Magnesium citrate,,,none,unmapped
DDInter1116,Magnesium gluconate,,,none,unmapped
DDInter1117,Magnesium glycinate,,,none,unmapped
DDInter1118,Magnesium hydroxide,,,none,unmapped
DDInter1119,Magnesium oxide,,,none,unmapped
DDInter112,Aprepitant,,,none,unmapped
DDInter1120,Magnesium sulfate,,,none,unmapped
DDInter1121,Manganese (chloride),,,none,unmapped
DDInter1122,Manganese (sulfate),,,none,unmapped
DDInter1123,Mannitol,,,none,unmapped
DDInter1124,Maprotiline,,,none,unmapped
DDInter1125,Maraviroc,,,none,unmapped
DDInter1126,Mazindol,Compound::DB00579,Mazindol,normalized case-insensitive exact generic name,exact_name
DDInter1127,Measles virus vaccine live attenuated,,,none,unmapped
DDInter1128,Mebendazole,,,none,unmapped
DDInter1129,Mebrofenin,,,none,unmapped
DDInter113,Aprotinin,,,none,unmapped
DDInter1130,Mecamylamine,Compound::DB00657,Mecamylamine,normalized case-insensitive exact generic name,exact_name
DDInter1131,Mecasermin,,,none,unmapped
DDInter1132,Mecasermin rinfabate,,,none,unmapped
DDInter1133,Mechlorethamine,,,none,unmapped
DDInter1134,Meclizine,,,none,unmapped
DDInter1135,Meclofenamic acid,Compound::DB00939,Meclofenamic acid,normalized case-insensitive exact generic name,exact_name
DDInter1136,Mecobalamin,,,none,unmapped
DDInter1137,Medroxyprogesterone acetate,Compound::DB00603,Medroxyprogesterone Acetate,normalized case-insensitive exact generic name,exact_name
DDInter1138,Medrysone (ophthalmic),,,none,unmapped
DDInter1139,Mefenamic acid,Compound::DB00784,Mefenamic acid,normalized case-insensitive exact generic name,exact_name
DDInter114,Arbutamine,Compound::DB01102,Arbutamine,normalized case-insensitive exact generic name,exact_name
DDInter1140,Mefloquine,,,none,unmapped
DDInter1141,Megestrol acetate,Compound::DB00351,Megestrol acetate,normalized case-insensitive exact generic name,exact_name
DDInter1142,Melatonin,,,none,unmapped
DDInter1143,Meloxicam,,,none,unmapped
DDInter1144,Melphalan,,,none,unmapped
DDInter1145,Melphalan flufenamide,,,none,unmapped
DDInter1146,Memantine,,,none,unmapped
DDInter1147,Meningococcal polysaccharide vaccine group C,,,none,unmapped
DDInter1148,Menotropins,,,none,unmapped
DDInter1149,Mepenzolate,,,none,unmapped
DDInter115,Ardeparin,,,none,unmapped
DDInter1150,Meperidine,,,none,unmapped
DDInter1151,Mephentermine,,,none,unmapped
DDInter1152,Mephenytoin,,,none,unmapped
DDInter1153,Mepivacaine,,,none,unmapped
DDInter1154,Meprobamate,,,none,unmapped
DDInter1155,Mepyramine,Compound::DB06691,Mepyramine,normalized case-insensitive exact generic name,exact_name
