pair_id,DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level,source_file,atc_category
DDInter1004|DDInter1018,DDInter1004,Kanamycin,DDInter1018,Lactulose,Unknown,ddinter_downloads_code_A.csv,A
DDInter1004|DDInter1244,DDInter1004,Kanamycin,DDInter1244,Morphine,Unknown,ddinter_downloads_code_A.csv,A
DDInter1004|DDInter1301,DDInter1004,Kanamycin,DDInter1301,Nitrazepam,Unknown,ddinter_downloads_code_A.csv,A
DDInter1004|DDInter1325,DDInter1004,Kanamycin,DDInter1325,Ofloxacin,Unknown,ddinter_downloads_code_A.csv,A
DDInter1004|DDInter1538,DDInter1004,Kanamycin,DDInter1538,Propofol,Unknown,ddinter_downloads_code_A.csv,A
DDInter1004|DDInter1547,DDInter1004,Kanamycin,DDInter1547,Pyrazinamide,Unknown,ddinter_downloads_code_A.csv,A
DDInter1004|DDInter1707,DDInter1004,Kanamycin,DDInter1707,Spironolactone,Unknown,ddinter_downloads_code_A.csv,A
DDInter1004|DDInter1860,DDInter1004,Kanamycin,DDInter1860,Triazolam,Unknown,ddinter_downloads_code_A.csv,A
DDInter1004|DDInter1906,DDInter1004,Kanamycin,DDInter1906,Ursodeoxycholic acid,Unknown,ddinter_downloads_code_A.csv,A
DDInter1004|DDInter30,DDInter1004,Kanamycin,DDInter30,Adefovir dipivoxil,Unknown,ddinter_downloads_code_A.csv,A
DDInter1004|DDInter393,DDInter1004,Kanamycin,DDInter393,Clarithromycin,Unknown,ddinter_downloads_code_A.csv,A
DDInter1004|DDInter722,DDInter1004,Kanamycin,DDInter722,Fentanyl,Unknown,ddinter_downloads_code_A.csv,A
DDInter1007|DDInter1066,DDInter1007,Ketamine,DDInter1066,Lidocaine,Unknown,ddinter_downloads_code_D.csv;ddinter_downloads_code_R.csv,D;R
DDInter1007|DDInter1340,DDInter1007,Ketamine,DDInter1340,Omeprazole,Unknown,ddinter_downloads_code_A.csv,A
DDInter1007|DDInter1342,DDInter1007,Ketamine,DDInter1342,Ondansetron,Unknown,ddinter_downloads_code_A.csv,A
DDInter1007|DDInter136,DDInter1007,Ketamine,DDInter136,Atropine,Unknown,ddinter_downloads_code_A.csv,A
DDInter1007|DDInter1497,DDInter1007,Ketamine,DDInter1497,Potassium chloride,Unknown,ddinter_downloads_code_A.csv;ddinter_downloads_code_B.csv,A;B
DDInter1007|DDInter1735,DDInter1007,Ketamine,DDInter1735,Tacrolimus,Unknown,ddinter_downloads_code_D.csv;ddinter_downloads_code_L.csv,D;L
DDInter1007|DDInter1906,DDInter1007,Ketamine,DDInter1906,Ursodeoxycholic acid,Unknown,ddinter_downloads_code_A.csv,A
DDInter1007|DDInter25,DDInter1007,Ketamine,DDInter25,Acyclovir,Unknown,ddinter_downloads_code_D.csv,D
DDInter1007|DDInter458,DDInter1007,Ketamine,DDInter458,Cyclosporine,Unknown,ddinter_downloads_code_L.csv,L
DDInter1007|DDInter513,DDInter1007,Ketamine,DDInter513,Dexamethasone,Unknown,ddinter_downloads_code_A.csv;ddinter_downloads_code_D.csv;ddinter_downloads_code_H.csv;ddinter_downloads_code_R.csv,A;D;H;R
DDInter1007|DDInter702,DDInter1007,Ketamine,DDInter702,Etoposide,Unknown,ddinter_downloads_code_L.csv,L
DDInter1007|DDInter712,DDInter1007,Ketamine,DDInter712,Famotidine,Unknown,ddinter_downloads_code_A.csv,A
DDInter1007|DDInter85,DDInter1007,Ketamine,DDInter85,Amphotericin B,Unknown,ddinter_downloads_code_A.csv,A
DDInter1007|DDInter856,DDInter1007,Ketamine,DDInter856,Heparin,Unknown,ddinter_downloads_code_B.csv,B
DDInter1008|DDInter1019,DDInter1008,Ketoconazole,DDInter1019,Lamivudine,Unknown,ddinter_downloads_code_D.csv,D
DDInter1008|DDInter1028,DDInter1008,Ketoconazole,DDInter1028,Latanoprost,Unknown,ddinter_downloads_code_D.csv,D
DDInter1008|DDInter1035,DDInter1008,Ketoconazole,DDInter1035,Lenalidomide,Unknown,ddinter_downloads_code_D.csv;ddinter_downloads_code_L.csv,D;L
DDInter1008|DDInter1064,DDInter1008,Ketoconazole,DDInter1064,Levothyroxine,Unknown,ddinter_downloads_code_D.csv;ddinter_downloads_code_H.csv,D;H
DDInter1008|DDInter1079,DDInter1008,Ketoconazole,DDInter1079,Lisinopril,Unknown,ddinter_downloads_code_D.csv,D
DDInter1008|DDInter1092,DDInter1008,Ketoconazole,DDInter1092,Lorazepam,Unknown,ddinter_downloads_code_D.csv,D
DDInter1008|DDInter1143,DDInter1008,Ketoconazole,DDInter1143,Meloxicam,Unknown,ddinter_downloads_code_D.csv,D
DDInter1008|DDInter1164,DDInter1008,Ketoconazole,DDInter1164,Metformin,Unknown,ddinter_downloads_code_A.csv;ddinter_downloads_code_D.csv,A;D
DDInter1008|DDInter1189,DDInter1008,Ketoconazole,DDInter1189,Methylphenidate,Unknown,ddinter_downloads_code_D.csv,D
DDInter1008|DDInter1197,DDInter1008,Ketoconazole,DDInter1197,Metoclopramide,Unknown,ddinter_downloads_code_A.csv;ddinter_downloads_code_D.csv,A;D
DDInter1008|DDInter1200,DDInter1008,Ketoconazole,DDInter1200,Metoprolol,Unknown,ddinter_downloads_code_D.csv,D
DDInter1008|DDInter1209,DDInter1008,Ketoconazole,DDInter1209,Miconazole,Unknown,ddinter_downloads_code_A.csv;ddinter_downloads_code_D.csv,A;D
DDInter1008|DDInter1242,DDInter1008,Ketoconazole,DDInter1242,Montelukast,Unknown,ddinter_downloads_code_D.csv;ddinter_downloads_code_R.csv,D;R
DDInter1008|DDInter1244,DDInter1008,Ketoconazole,DDInter1244,Morphine,Unknown,ddinter_downloads_code_A.csv;ddinter_downloads_code_D.csv,A;D
DDInter1008|DDInter1266,DDInter1008,Ketoconazole,DDInter1266,Naproxen,Unknown,ddinter_downloads_code_D.csv,D
DDInter1008|DDInter1269,DDInter1008,Ketoconazole,DDInter1269,Nateglinide,Unknown,ddinter_downloads_code_A.csv;ddinter_downloads_code_D.csv,A;D
DDInter1008|DDInter1286,DDInter1008,Ketoconazole,DDInter1286,Niacin,Unknown,ddinter_downloads_code_D.csv,D
DDInter1008|DDInter130,DDInter1008,Ketoconazole,DDInter130,Atenolol,Unknown,ddinter_downloads_code_D.csv,D
DDInter1008|DDInter1304,DDInter1008,Ketoconazole,DDInter1304,Nitroglycerin,Unknown,ddinter_downloads_code_D.csv,D
DDInter1008|DDInter1318,DDInter1008,Ketoconazole,DDInter1318,Nystatin,Unknown,ddinter_downloads_code_A.csv;ddinter_downloads_code_D.csv,A;D
DDInter1008|DDInter1383,DDInter1008,Ketoconazole,DDInter1383,Pamidronic acid,Unknown,ddinter_downloads_code_D.csv,D
DDInter1008|DDInter1397,DDInter1008,Ketoconazole,DDInter1397,Paroxetine,Unknown,ddinter_downloads_code_D.csv,D
DDInter1008|DDInter14,DDInter1008,Ketoconazole,DDInter14,Acetaminophen,Unknown,ddinter_downloads_code_D.csv,D
DDInter1008|DDInter1497,DDInter1008,Ketoconazole,DDInter1497,Potassium chloride,Unknown,ddinter_downloads_code_A.csv;ddinter_downloads_code_B.csv;ddinter_downloads_code_D.csv,A;B;D
DDInter1008|DDInter1505,DDInter1008,Ketoconazole,DDInter1505,Pramipexole,Unknown,ddinter_downloads_code_D.csv,D
DDInter1008|DDInter1509,DDInter1008,Ketoconazole,DDInter1509,Pravastatin,Unknown,ddinter_downloads_code_D.csv,D
DDInter1008|DDInter1516,DDInter1008,Ketoconazole,DDInter1516,Pregabalin,Unknown,ddinter_downloads_code_D.csv,D
DDInter1008|DDInter1539,DDInter1008,Ketoconazole,DDInter1539,Propranolol,Unknown,ddinter_downloads_code_D.csv,D
DDInter1008|DDInter1565,DDInter1008,Ketoconazole,DDInter1565,Ramipril,Unknown,ddinter_downloads_code_D.csv,D
DDInter1008|DDInter1587,DDInter1008,Ketoconazole,DDInter1587,Ribavirin,Unknown,ddinter_downloads_code_D.csv,D
DDInter1008|DDInter1604,DDInter1008,Ketoconazole,DDInter1604,Risedronic acid,Unknown,ddinter_downloads_code_D.csv,D
DDInter1008|DDInter1613,DDInter1008,Ketoconazole,DDInter1613,Rofecoxib,Unknown,ddinter_downloads_code_D.csv,D
