feature,provenance,nonmissing_count,missing_count,missing_percentage,zero_percentage_of_nonmissing,unique_nonmissing_values,mean,std,min,q25,median,q75,max
hetionet_available_count,Hetionet graph,130422,0,0.0,73.386392,3,0.29137722163438684,0.5069129976333492,0.0,0.0,0.0,1.0,2.0
both_hetionet_available,Hetionet graph,130422,0,0.0,97.475886,2,0.025241140298415912,0.156857303896392,0.0,0.0,0.0,0.0,1.0
graph_ctd_disease_count_mean,Hetionet graph,3292,127130,97.475886,30.741191,8,0.6085965978128797,0.5904709521992041,0.0,0.0,0.5,1.0,3.5
graph_ctd_disease_count_abs_difference,Hetionet graph,3292,127130,97.475886,40.886999,5,0.8034629404617254,0.8521587726657972,0.0,0.0,1.0,1.0,4.0
graph_cpd_disease_count_mean,Hetionet graph,3292,127130,97.475886,91.433779,7,0.10707776427703523,0.44476258969800786,0.0,0.0,0.0,0.0,3.5
graph_cpd_disease_count_abs_difference,Hetionet graph,3292,127130,97.475886,91.433779,6,0.20990279465370595,0.8663248459147013,0.0,0.0,0.0,0.0,5.0
graph_bound_gene_count_mean,Hetionet graph,3292,127130,97.475886,30.741191,64,4.681652490886999,6.021645646334406,0.0,0.0,2.5,6.5,48.5
graph_bound_gene_count_abs_difference,Hetionet graph,3292,127130,97.475886,31.956258,44,7.060145808019441,9.775730233040717,0.0,0.0,4.0,10.0,56.0
graph_upregulated_gene_count_mean,Hetionet graph,3292,127130,97.475886,53.6452,66,2.921476306196841,9.396430459804781,0.0,0.0,0.0,2.5,178.0
graph_upregulated_gene_count_abs_difference,Hetionet graph,3292,127130,97.475886,54.191981,59,5.171628189550425,16.38768046811875,0.0,0.0,0.0,4.0,197.0
graph_downregulated_gene_count_mean,Hetionet graph,3292,127130,97.475886,49.696233,88,4.951245443499393,14.817772112292277,0.0,0.0,0.5,3.0,249.0
graph_downregulated_gene_count_abs_difference,Hetionet graph,3292,127130,97.475886,50.394897,73,8.827156743620899,26.068667079038843,0.0,0.0,0.0,6.0,250.0
graph_side_effect_count_mean,Hetionet graph,3292,127130,97.475886,32.442284,291,46.44714459295261,47.977560791049804,0.0,0.0,33.0,71.5,233.0
