source,metaedge,target
Compound::DB01291,CrC,Compound::DB01203
Compound::DB00999,CrC,Compound::DB01021
Compound::DB00872,CrC,Compound::DB01076
Compound::DB00393,CrC,Compound::DB00270
Compound::DB00489,CrC,Compound::DB00187
Compound::DB00571,CrC,Compound::DB00264
Compound::DB00393,CrC,Compound::DB01023
Compound::DB00247,CrC,Compound::DB01200
Compound::DB01115,CrC,Compound::DB01054
Compound::DB00177,CrC,Compound::DB00796
Compound::DB00195,CrC,Compound::DB01580
Compound::DB00856,CrC,Compound::DB00195
Compound::DB00968,CrC,Compound::DB00244
Compound::DB00571,CrC,Compound::DB00289
Compound::DB01023,CrC,Compound::DB00528
Compound::DB00598,CrC,Compound::DB00542
Compound::DB00584,CrC,Compound::DB00790
Compound::DB00839,CrC,Compound::DB00634
Compound::DB00722,CrC,Compound::DB00731
Compound::DB01162,CrC,Compound::DB00590
Compound::DB01049,CrC,Compound::DB01200
Compound::DB00839,CrC,Compound::DB01016
Compound::DB00264,CrC,Compound::DB00187
Compound::DB08998,CrC,Compound::DB01136
Compound::DB01420,CrC,Compound::DB00700
Compound::DB00421,CrC,Compound::DB00621
Compound::DB00973,CrC,Compound::DB04842
Compound::DB00866,CrC,Compound::DB00264
Compound::DB00270,CrC,Compound::DB01054
Compound::DB00571,CrC,Compound::DB01193
Compound::DB00945,CrC,Compound::DB00939
Compound::DB00731,CrC,Compound::DB00188
Compound::DB01252,CrC,Compound::DB00492
Compound::DB01393,CrC,Compound::DB01016
Compound::DB00492,CrC,Compound::DB01340
Compound::DB00177,CrC,Compound::DB01349
Compound::DB00731,CrC,Compound::DB00120
Compound::DB00232,CrC,Compound::DB00999
Compound::DB01244,CrC,Compound::DB01116
Compound::DB08808,CrC,Compound::DB01203
Compound::DB00731,CrC,Compound::DB01576
Compound::DB00856,CrC,Compound::DB00264
Compound::DB00519,CrC,Compound::DB00731
Compound::DB00741,CrC,Compound::DB00700
Compound::DB00731,CrC,Compound::DB01577
Compound::DB00722,CrC,Compound::DB00691
Compound::DB00270,CrC,Compound::DB00401
Compound::DB00264,CrC,Compound::DB01193
Compound::DB00960,CrC,Compound::DB00521
Compound::DB01115,CrC,Compound::DB06712
Compound::DB00571,CrC,Compound::DB08941
Compound::DB01359,CrC,Compound::DB00866
Compound::DB01297,CrC,Compound::DB01193
Compound::DB00874,CrC,Compound::DB01359
Compound::DB00524,CrC,Compound::DB00808
Compound::DB00421,CrC,Compound::DB00624
Compound::DB01021,CrC,Compound::DB00880
Compound::DB00966,CrC,Compound::DB01609
Compound::DB00999,CrC,Compound::DB00606
Compound::DB01395,CrC,Compound::DB00700
Compound::DB01182,CrC,Compound::DB00542
Compound::DB00960,CrC,Compound::DB01203
Compound::DB00519,CrC,Compound::DB00691
Compound::DB00700,CrC,Compound::DB00603
Compound::DB08954,CrC,Compound::DB00598
Compound::DB01359,CrC,Compound::DB00521
Compound::DB01244,CrC,Compound::DB00925
Compound::DB01102,CrC,Compound::DB00598
Compound::DB00421,CrC,Compound::DB09015
Compound::DB00960,CrC,Compound::DB01214
Compound::DB01324,CrC,Compound::DB00436
Compound::DB00232,CrC,Compound::DB00524
Compound::DB01393,CrC,Compound::DB01039
Compound::DB00401,CrC,Compound::DB04920
Compound::DB00177,CrC,Compound::DB00678
Compound::DB00622,CrC,Compound::DB04920
Compound::DB00968,CrC,Compound::DB00221
Compound::DB00275,CrC,Compound::DB08822
Compound::DB01064,CrC,Compound::DB00598
Compound::DB00310,CrC,Compound::DB00562
Compound::DB01325,CrC,Compound::DB00880
Compound::DB00774,CrC,Compound::DB00606
Compound::DB00571,CrC,Compound::DB00195
Compound::DB00270,CrC,Compound::DB01023
Compound::DB01251,CrC,Compound::DB01067
Compound::DB00676,CrC,Compound::DB00542
Compound::DB00973,CrC,Compound::DB04841
Compound::DB01162,CrC,Compound::DB00346
Compound::DB01119,CrC,Compound::DB00880
