row_id,compound_id,compound_name,disease_id,disease_name,label_source,label_semantics,compound_other_ctd_disease_count,compound_cpD_disease_count,compound_bound_gene_count,compound_upregulated_gene_count,compound_downregulated_gene_count,compound_side_effect_count,compound_pharmacologic_class_count,compound_resemblance_neighbor_count,compound_graph_degree,disease_other_ctd_compound_count,disease_cpD_compound_count,disease_graph_degree,has_compound_palliates_disease_edge,ctd_label
Compound::DB00120|Disease::DOID:784,Compound::DB00120,L-Phenylalanine,Disease::DOID:784,chronic kidney failure,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,1,1,0,4,4,0,0
Compound::DB00168|Disease::DOID:1686,Compound::DB00168,Aspartame,Disease::DOID:1686,glaucoma,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,0,0,0,0,0,0,0,6,6,3,0,3,0,0
Compound::DB00175|Disease::DOID:1936,Compound::DB00175,Pravastatin,Disease::DOID:1936,atherosclerosis,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,1,0,19,4,1,184,0,2,212,5,0,6,0,1
Compound::DB00175|Disease::DOID:3393,Compound::DB00175,Pravastatin,Disease::DOID:3393,coronary artery disease,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,1,0,19,4,1,184,0,2,212,27,3,31,0,1
Compound::DB00177|Disease::DOID:10763,Compound::DB00177,Valsartan,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,2,0,5,4,3,110,1,6,132,67,0,68,0,1
Compound::DB00177|Disease::DOID:12930,Compound::DB00177,Valsartan,Disease::DOID:12930,dilated cardiomyopathy,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,3,0,5,4,3,110,1,6,132,3,0,3,0,0
Compound::DB00177|Disease::DOID:3393,Compound::DB00177,Valsartan,Disease::DOID:3393,coronary artery disease,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,2,0,5,4,3,110,1,6,132,27,3,31,0,1
Compound::DB00177|Disease::DOID:585,Compound::DB00177,Valsartan,Disease::DOID:585,nephrolithiasis,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,3,0,5,4,3,110,1,6,132,1,0,1,0,0
Compound::DB00177|Disease::DOID:9352,Compound::DB00177,Valsartan,Disease::DOID:9352,type 2 diabetes mellitus,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,2,0,5,4,3,110,1,6,132,21,0,22,0,1
Compound::DB00178|Disease::DOID:0050425,Compound::DB00178,Ramipril,Disease::DOID:0050425,restless legs syndrome,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,4,0,4,0,0,206,0,13,227,0,1,1,0,0
Compound::DB00178|Disease::DOID:10763,Compound::DB00178,Ramipril,Disease::DOID:10763,hypertension,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,3,0,4,0,0,206,0,13,227,67,0,68,0,1
Compound::DB00178|Disease::DOID:12930,Compound::DB00178,Ramipril,Disease::DOID:12930,dilated cardiomyopathy,Hetionet v1.0 filtered PolyMerge fragment,sampled_no_represented_CtD_edge,4,0,4,0,0,206,0,13,227,3,0,3,0,0
Compound::DB00178|Disease::DOID:3393,Compound::DB00178,Ramipril,Disease::DOID:3393,coronary artery disease,Hetionet v1.0 filtered PolyMerge fragment,represented_CtD_edge,3,0,4,0,0,206,0,13,227,27,3,31,0,1
